SID,SName,CityName
1,安庆,安庆
2,安庆西,安庆
3,狮子山,安庆
4,宿松,安庆
5,太湖,安庆
6,天柱山,安庆
7,桐城,安庆
8,蚌埠,蚌埠
9,蚌埠南,蚌埠
10,固镇,蚌埠
11,亳州,亳州
12,涡阳,亳州
13,池州,池州
14,东至,池州
15,定远,滁州
16,凤阳,滁州
17,滁州,滁州
18,滁州北,滁州
19,炉桥,滁州
20,明光,滁州
21,全椒,滁州
22,三堂集,阜阳
23,颍上,阜阳
24,颍上北,阜阳
25,颖上,阜阳
26,界首市,阜阳
27,阜南,阜阳
28,阜阳,阜阳
29,阜阳西,阜阳
30,肥东,合肥
31,肥西,合肥
32,合肥,合肥
33,合肥北城,合肥
34,合肥南,合肥
35,合肥西,合肥
36,长安集,合肥
37,长临河,合肥
38,巢湖,合肥
39,巢湖东,合肥
40,柯坦,合肥
41,庐江,合肥
42,三十里铺,合肥
43,水家湖,合肥
44,青龙山,淮北
45,淮北,淮北
46,淮南,淮南
47,淮南东,淮南
48,淮南南,淮南
49,凤台南,淮南
50,谢家,淮南
51,张集,淮南
52,歙县,黄山
53,歙县北,黄山
54,祁门,黄山
55,黄山,黄山
56,黄山北,黄山
57,霍邱,六安
58,金寨,六安
59,六安,六安
60,墩义堂,六安
61,舒城,六安
62,叶集,六安
63,当涂东,马鞍山
64,马鞍山,马鞍山
65,马鞍山东,马鞍山
66,灵璧,宿州
67,黄口,宿州
68,砀山,宿州
69,砀山南,宿州
70,符离集,宿州
71,泗县,宿州
72,宿州,宿州
73,宿州东,宿州
74,萧县,宿州
75,萧县北,宿州
76,铜陵,铜陵
77,铜陵北,铜陵
78,无为,芜湖
79,芜湖,芜湖
80,弋江,芜湖
81,裕溪口,芜湖
82,繁昌西,芜湖
83,南陵,芜湖
84,宁国,宣城
85,绩溪北,宣城
86,绩溪县,宣城
87,泾县,宣城
88,旌德,宣城
89,广德,宣城
90,宣城,宣城
91,沿河城西,北京
92,亦庄,北京
93,周口店,北京
94,珠窝东,北京
95,魏善庄,北京
96,西道口,北京
97,石景山南,北京
98,青龙桥,北京
99,广安门,北京
100,杜家坎所,北京
101,房山,北京
102,丰台,北京
103,丰台西,北京
104,测试1,北京
105,京联合,北京
106,良乡,北京
107,黄土坡,北京
108,苹果园,北京
109,密云北,北京
110,琉璃河,北京
111,南口,昌平区
112,昌平,昌平区
113,昌平北,昌平区
114,官高,昌平区
115,北京东,朝阳区
116,大兴,大兴区
117,黄村,大兴区
118,北京,东城区
119,孤山口,房山区
120,良各庄,房山区
121,南观村,房山区
122,平峪,房山区
123,三合庄,房山区
124,上万,房山区
125,十渡,房山区
126,云居寺,房山区
127,燕山,房山区
128,北京南,丰台区
129,北京西,丰台区
130,大灰厂,丰台区
131,清河,海淀区
132,清华园,海淀区
133,北宅,怀柔区
134,高各庄,怀柔区
135,庙城,怀柔区
136,怀柔,怀柔区
137,怀柔北,怀柔区
138,落坡岭,门头沟区
139,安家庄,门头沟区
140,三家店,门头沟区
141,斜河涧,门头沟区
142,雁翅,门头沟区
143,沿河城,门头沟区
144,珠窝,门头沟区
145,统军庄,密云县
146,密云,密云县
147,顺义,顺义区
148,张辛,顺义区
149,通州西,通州区
150,北京北,西城区
