TID,SDate,TName,SStationID,AStationID,STime,ATime
1,2019-12-02,C5001               ,1599,1621,2019-12-02 07:09:00,2019-12-02 08:46:00
2,2019-12-03,C5001               ,1599,1621,2019-12-03 07:09:00,2019-12-03 08:46:00
3,2019-12-04,C5001               ,1599,1621,2019-12-04 07:09:00,2019-12-04 08:46:00
4,2019-12-05,C5001               ,1599,1621,2019-12-05 07:09:00,2019-12-05 08:46:00
5,2019-12-06,C5001               ,1599,1621,2019-12-06 07:09:00,2019-12-06 08:46:00
6,2019-12-07,C5001               ,1599,1621,2019-12-07 07:09:00,2019-12-07 08:46:00
7,2019-12-08,C5001               ,1599,1621,2019-12-08 07:09:00,2019-12-08 08:46:00
8,2019-12-09,C5001               ,1599,1621,2019-12-09 07:09:00,2019-12-09 08:46:00
9,2019-12-10,C5001               ,1599,1621,2019-12-10 07:09:00,2019-12-10 08:46:00
10,2019-12-11,C5001               ,1599,1621,2019-12-11 07:09:00,2019-12-11 08:46:00
11,2019-12-12,C5001               ,1599,1621,2019-12-12 07:09:00,2019-12-12 08:46:00
12,2019-12-13,C5001               ,1599,1621,2019-12-13 07:09:00,2019-12-13 08:46:00
13,2019-12-14,C5001               ,1599,1621,2019-12-14 07:09:00,2019-12-14 08:46:00
14,2019-12-15,C5001               ,1599,1621,2019-12-15 07:09:00,2019-12-15 08:46:00
15,2019-12-16,C5001               ,1599,1621,2019-12-16 07:09:00,2019-12-16 08:46:00
16,2019-12-17,C5001               ,1599,1621,2019-12-17 07:09:00,2019-12-17 08:46:00
17,2019-12-18,C5001               ,1599,1621,2019-12-18 07:09:00,2019-12-18 08:46:00
18,2019-12-19,C5001               ,1599,1621,2019-12-19 07:09:00,2019-12-19 08:46:00
19,2019-12-20,C5001               ,1599,1621,2019-12-20 07:09:00,2019-12-20 08:46:00
20,2019-12-21,C5001               ,1599,1621,2019-12-21 07:09:00,2019-12-21 08:46:00
